entropy,avg_displacement
9.529886245727539062e+00,2.980431003767893383e+00
9.525815010070800781e+00,2.584134253726551922e+00
9.522089958190917969e+00,1.792221173425004643e+00
9.517830848693847656e+00,2.584196517116416292e+00
9.513413429260253906e+00,2.584170338288013014e+00
9.508835792541503906e+00,2.584243128067032824e+00
9.503787994384765625e+00,2.386204155304195051e+00
9.498412132263183594e+00,1.990097972164346585e+00
9.492571830749511719e+00,1.792223369208292727e+00
9.486886978149414062e+00,1.990059240791950845e+00
9.481149673461914062e+00,2.782255778293354354e+00
9.475214958190917969e+00,1.792034175793942641e+00
9.469832420349121094e+00,1.594167332226543721e+00
9.464279174804687500e+00,1.990134562797713169e+00
9.458491325378417969e+00,3.178499350711767146e+00
9.452600479125976562e+00,1.990164078583328777e+00
9.446669578552246094e+00,2.386176320042842747e+00
9.440760612487792969e+00,2.584175623980524694e+00
9.435034751892089844e+00,2.188198132364326920e+00
9.429656982421875000e+00,2.188322129267218141e+00
9.424228668212890625e+00,2.386279548659715921e+00
9.418476104736328125e+00,2.584170567133102558e+00
9.412826538085937500e+00,2.386386556374111567e+00
9.407397270202636719e+00,1.990139355761695983e+00
9.401839256286621094e+00,1.990180397004528645e+00
9.396206855773925781e+00,1.594056099750489786e+00
9.390172958374023438e+00,2.584398800055687673e+00
9.384546279907226562e+00,2.386293724790408799e+00
9.379050254821777344e+00,2.782219802319350510e+00
9.373699188232421875e+00,2.188169978310325448e+00
9.368715286254882812e+00,1.396093888081876067e+00
9.363852500915527344e+00,3.178206901564754716e+00
9.359113693237304688e+00,1.594072624042593311e+00
9.354737281799316406e+00,2.386161869506149724e+00
9.350406646728515625e+00,2.188069473799414411e+00
9.346216201782226562e+00,3.178296499284948506e+00
9.342117309570312500e+00,1.990115918501243142e+00
9.338155746459960938e+00,2.980228865390829984e+00
9.334390640258789062e+00,2.188268200302983857e+00
9.331057548522949219e+00,2.188195203599163641e+00
9.327960968017578125e+00,2.188152045706186932e+00
9.324451446533203125e+00,2.782257880399395589e+00
9.321121215820312500e+00,2.584183239003236654e+00
9.317697525024414062e+00,2.188257454269942226e+00
9.314203262329101562e+00,3.178382950737183688e+00
9.310647010803222656e+00,2.980224673769311217e+00
9.307216644287109375e+00,2.386173179029542624e+00
9.303619384765625000e+00,1.990240642017750305e+00
9.299944877624511719e+00,2.584218129518909279e+00
9.296890258789062500e+00,3.574451201217923035e+00
9.293645858764648438e+00,1.396111677835930598e+00
9.290372848510742188e+00,2.188180588209611255e+00
9.287419319152832031e+00,1.792097430689632898e+00
9.284498214721679688e+00,2.584350268643674120e+00
9.282028198242187500e+00,3.574347109210972206e+00
9.279045104980468750e+00,3.178284891007777446e+00
9.276288986206054688e+00,2.188404047357457749e+00
9.273868560791015625e+00,3.178480781259408250e+00
9.271259307861328125e+00,1.990177217142912847e+00
9.268826484680175781e+00,2.584202791926442089e+00
9.266355514526367188e+00,2.386349728104089074e+00
9.264137268066406250e+00,3.772549400838879574e+00
9.261840820312500000e+00,1.792110858176329202e+00
9.259302139282226562e+00,1.990389593027434678e+00
9.256980895996093750e+00,2.782455074505266523e+00
9.255053520202636719e+00,3.178569431684639124e+00
9.252900123596191406e+00,2.782253326013368611e+00
9.251398086547851562e+00,2.188118735974249773e+00
9.250170707702636719e+00,2.584469047322431212e+00
9.248854637145996094e+00,2.386257805160629797e+00
9.247863769531250000e+00,2.584349309466213551e+00
9.247083663940429688e+00,2.188204799762527575e+00
9.246270179748535156e+00,2.584291981562263363e+00
9.245348930358886719e+00,2.386219760917420718e+00
9.244509696960449219e+00,2.782248916711921982e+00
9.244106292724609375e+00,2.188125859722990896e+00
9.243734359741210938e+00,2.980267027538512803e+00
9.242908477783203125e+00,2.386227315808210570e+00
9.242053031921386719e+00,3.574487578672061794e+00
9.241514205932617188e+00,1.990100478425545161e+00
9.241152763366699219e+00,2.980357652192252793e+00
9.240736961364746094e+00,3.574334204392803471e+00
9.240545272827148438e+00,1.594156129287854773e+00
9.240123748779296875e+00,2.980411831772299625e+00
9.239193916320800781e+00,3.376497829897477931e+00
9.238546371459960938e+00,2.782213066363580012e+00
9.237925529479980469e+00,2.188192470358423236e+00
9.237276077270507812e+00,2.188231250929709937e+00
9.236471176147460938e+00,3.376407023609343749e+00
9.235980033874511719e+00,2.782527092383957790e+00
9.234667778015136719e+00,2.188192489084482162e+00
9.233649253845214844e+00,2.782334743913407404e+00
9.232923507690429688e+00,2.584317693864843335e+00
9.232021331787109375e+00,2.386176383549200253e+00
9.230800628662109375e+00,3.574499143196200990e+00
9.229994773864746094e+00,2.584358901954772580e+00
9.229284286499023438e+00,2.188219096482632242e+00
9.228081703186035156e+00,3.574489603139234362e+00
9.227005004882812500e+00,2.980364987086678408e+00
9.225734710693359375e+00,2.386354208919799991e+00
9.224977493286132812e+00,2.584308066141506988e+00
9.224081039428710938e+00,2.980369931451088306e+00
9.222811698913574219e+00,3.376357301742415995e+00
9.221586227416992188e+00,3.574488519143724563e+00
9.220267295837402344e+00,2.782365426368875294e+00
9.219032287597656250e+00,2.584276612710139531e+00
9.217584609985351562e+00,3.178393855955090608e+00
9.216669082641601562e+00,3.376521792420654311e+00
9.215737342834472656e+00,2.584332332496420470e+00
9.214547157287597656e+00,2.980303723015302442e+00
9.212987899780273438e+00,2.386225328745719132e+00
9.211568832397460938e+00,2.188433453823964037e+00
9.209954261779785156e+00,2.584369884943182427e+00
9.208032608032226562e+00,2.584168009405997779e+00
9.206218719482421875e+00,3.574431375416212919e+00
9.204262733459472656e+00,2.980180902723438496e+00
9.202333450317382812e+00,2.782273726321442098e+00
9.200381278991699219e+00,2.782758038649679744e+00
9.198019027709960938e+00,2.782307375671511984e+00
9.195858001708984375e+00,2.188298471610001794e+00
9.193597793579101562e+00,4.168475615301283632e+00
9.191618919372558594e+00,2.584458280058687496e+00
9.189350128173828125e+00,1.792165290597996341e+00
9.187063217163085938e+00,1.792091133576812600e+00
9.185021400451660156e+00,3.178222768909415130e+00
9.182842254638671875e+00,4.564635910726383194e+00
9.180599212646484375e+00,2.386099086903081368e+00
9.178491592407226562e+00,2.980264906610754050e+00
9.176038742065429688e+00,2.386175116297219567e+00
9.173259735107421875e+00,2.584279566379493076e+00
9.170629501342773438e+00,2.386283160453897878e+00
9.167639732360839844e+00,2.188137337117443071e+00
9.164224624633789062e+00,2.782517950826276287e+00
9.160633087158203125e+00,3.178329427803194385e+00
9.157190322875976562e+00,2.782283300807979476e+00
9.153498649597167969e+00,3.376441963906509081e+00
9.149834632873535156e+00,2.980571389779633318e+00
9.146102905273437500e+00,3.376428495011732256e+00
9.142417907714843750e+00,2.782210174515972412e+00
9.138515472412109375e+00,3.574422662779127347e+00
9.134869575500488281e+00,3.376492569680303646e+00
9.130821228027343750e+00,2.584354187466894270e+00
9.126598358154296875e+00,3.772374102091763159e+00
9.122604370117187500e+00,4.366863055261947402e+00
9.118593215942382812e+00,2.782371829681847597e+00
9.114426612854003906e+00,3.178391341852189633e+00
9.110387802124023438e+00,2.782374070419433298e+00
9.106384277343750000e+00,3.178254260384175467e+00
9.102341651916503906e+00,2.584092727049438043e+00
9.098253250122070312e+00,3.574260821462802440e+00
9.094183921813964844e+00,3.574239509291777139e+00
9.090263366699218750e+00,1.594092152573300059e+00
9.086346626281738281e+00,3.376272546207166325e+00
9.082666397094726562e+00,3.772504898320174327e+00
9.078462600708007812e+00,2.980270119270166607e+00
9.074417114257812500e+00,2.782344357116776301e+00
9.070266723632812500e+00,4.366529355459042527e+00
9.066143035888671875e+00,2.782289269616440741e+00
9.062093734741210938e+00,2.584247840435746291e+00
9.057997703552246094e+00,2.980188058708224563e+00
9.053636550903320312e+00,3.574290865048376009e+00
9.049157142639160156e+00,3.178325838928900193e+00
9.045052528381347656e+00,3.574493159856779734e+00
9.040728569030761719e+00,2.782350655134048001e+00
9.036591529846191406e+00,3.574495208304341087e+00
9.032772064208984375e+00,2.386201870898945199e+00
9.028909683227539062e+00,3.178233626529912037e+00
9.025039672851562500e+00,4.564616612481980695e+00
9.021175384521484375e+00,1.990148986525172026e+00
9.017110824584960938e+00,2.584187241433143711e+00
9.012932777404785156e+00,2.980309951052359629e+00
9.008785247802734375e+00,4.564566943503683305e+00
9.004658699035644531e+00,3.178296855787479114e+00
9.000598907470703125e+00,2.188180886159043492e+00
8.996608734130859375e+00,2.980521554585562782e+00
8.992547988891601562e+00,3.772590159975584445e+00
8.988244056701660156e+00,3.574507829275221482e+00
8.984092712402343750e+00,2.980291488940268962e+00
8.979669570922851562e+00,3.970357775195422434e+00
8.975217819213867188e+00,2.584164024199723020e+00
8.970870971679687500e+00,4.168623125826565357e+00
8.966513633728027344e+00,3.376586291227835712e+00
8.961999893188476562e+00,3.574473883936310603e+00
8.957599639892578125e+00,4.762546810494466598e+00
8.953358650207519531e+00,3.772630352485704108e+00
8.949247360229492188e+00,2.386239878906057932e+00
8.945483207702636719e+00,3.772283121162274711e+00
8.941337585449218750e+00,4.366698856598941525e+00
8.937351226806640625e+00,2.980267279236469058e+00
8.933071136474609375e+00,2.980379496764129943e+00
8.928686141967773438e+00,2.980149626917777628e+00
8.924249649047851562e+00,2.980228109439623907e+00
8.919838905334472656e+00,4.168603133925851800e+00
8.915307044982910156e+00,3.772391198552157210e+00
8.910889625549316406e+00,4.564523361532175194e+00
8.906656265258789062e+00,2.980346242926564582e+00
8.902004241943359375e+00,2.584096549263154241e+00
8.897521018981933594e+00,4.366712663666291405e+00
8.893177032470703125e+00,3.970464770143451450e+00
8.888700485229492188e+00,3.772467904371558767e+00
8.884388923645019531e+00,3.574421387770939429e+00
8.879954338073730469e+00,4.564503999873717355e+00
8.875314712524414062e+00,2.980242489491953695e+00
8.870719909667968750e+00,4.762605402925114362e+00
8.866230010986328125e+00,3.376311019362037591e+00
8.861873626708984375e+00,3.772446172879187376e+00
8.857780456542968750e+00,3.178329389911178637e+00
8.853429794311523438e+00,2.584268721015166914e+00
8.848482131958007812e+00,3.376390619324901810e+00
8.843729972839355469e+00,3.574481227286449680e+00
8.838809967041015625e+00,4.762667482659942664e+00
8.834047317504882812e+00,3.970643013376297326e+00
8.829207420349121094e+00,3.772763348580929321e+00
8.824373245239257812e+00,4.762590788104168915e+00
8.819766998291015625e+00,3.574617558268240014e+00
8.815280914306640625e+00,2.782208237856777622e+00
8.810524940490722656e+00,4.168515074482873395e+00
8.805683135986328125e+00,4.366406142023397052e+00
8.800468444824218750e+00,4.168739878502051965e+00
8.795040130615234375e+00,3.772550694296993967e+00
8.789262771606445312e+00,3.178628725402226962e+00
8.783257484436035156e+00,3.970551883595461629e+00
8.776917457580566406e+00,3.772769781460009852e+00
8.771169662475585938e+00,6.742992106618364900e+00
8.765464782714843750e+00,3.178379896871152965e+00
8.760090827941894531e+00,3.772465030027610133e+00
8.754633903503417969e+00,4.168489144307364391e+00
8.748794555664062500e+00,4.366675698253823512e+00
8.743088722229003906e+00,3.574448392395430218e+00
8.737173080444335938e+00,3.772329707260362763e+00
8.730982780456542969e+00,4.960712513182712335e+00
8.724527359008789062e+00,3.574319080416529015e+00
8.718132019042968750e+00,3.970387803150196238e+00
8.711493492126464844e+00,4.564897584397370700e+00
8.704870223999023438e+00,3.970514837901801819e+00
8.698262214660644531e+00,4.762546279346718592e+00
8.691674232482910156e+00,3.772453507658924288e+00
8.684750556945800781e+00,4.762700367475017238e+00
8.677576065063476562e+00,3.772787225199344174e+00
8.670327186584472656e+00,3.178491959839895742e+00
8.663150787353515625e+00,4.762351200893869319e+00
8.655819892883300781e+00,3.376269264898366540e+00
8.648744583129882812e+00,6.743026106557841182e+00
8.641555786132812500e+00,4.762452141609048617e+00
8.634332656860351562e+00,3.574265286480547754e+00
8.627618789672851562e+00,4.366363652303419940e+00
8.620663642883300781e+00,4.960384827570058164e+00
8.613655090332031250e+00,4.168393590262317261e+00
8.607039451599121094e+00,4.564530316974699353e+00
8.600440979003906250e+00,6.940968774015995102e+00
8.593997001647949219e+00,3.574595045873407706e+00
8.587492942810058594e+00,3.574372774108937278e+00
8.581353187561035156e+00,4.564592487679846933e+00
8.575217247009277344e+00,4.960560528045282247e+00
8.569430351257324219e+00,4.960696730333519433e+00
8.563697814941406250e+00,4.762771225500689987e+00
8.557556152343750000e+00,4.168472770378877534e+00
8.551767349243164062e+00,4.960564352729983639e+00
8.545861244201660156e+00,5.158518453352914257e+00
8.539985656738281250e+00,4.960856632101386055e+00
8.534152984619140625e+00,5.950673520381390524e+00
8.528429985046386719e+00,4.960592700215553208e+00
8.522457122802734375e+00,6.940873275986368718e+00
8.516916275024414062e+00,3.772575062179410743e+00
8.511279106140136719e+00,4.762713627800201799e+00
8.505630493164062500e+00,5.356650583003355059e+00
8.500040054321289062e+00,4.366518143204160651e+00
8.494490623474121094e+00,4.564443450429453542e+00
8.488970756530761719e+00,5.158774668814918307e+00
8.483170509338378906e+00,5.356523843830289344e+00
8.477565765380859375e+00,5.554591678490901963e+00
8.472362518310546875e+00,6.148735842503285198e+00
8.467302322387695312e+00,4.564490182860343026e+00
8.461808204650878906e+00,5.554724917102140225e+00
8.456519126892089844e+00,6.148609398638881451e+00
8.450829505920410156e+00,3.970589435261533406e+00
8.445219039916992188e+00,5.950523617551349176e+00
8.439713478088378906e+00,5.950739075125725641e+00
8.434173583984375000e+00,6.148834532676440645e+00
8.428837776184082031e+00,4.168504819275072215e+00
8.423757553100585938e+00,5.554723761169930718e+00
8.418959617614746094e+00,6.148660311238776544e+00
8.413843154907226562e+00,4.960436891040323815e+00
8.409001350402832031e+00,5.554511505031710428e+00
8.404410362243652344e+00,4.960296930154681760e+00
8.399568557739257812e+00,5.356507106935361584e+00
8.394464492797851562e+00,5.950632750714647479e+00
8.389027595520019531e+00,5.950737047433682037e+00
8.383872985839843750e+00,6.148919233638331150e+00
8.379043579101562500e+00,3.970386770413382838e+00
8.374327659606933594e+00,4.762533994312938113e+00
8.369361877441406250e+00,5.950616919189214649e+00
8.364575386047363281e+00,4.762477245145681159e+00
8.359767913818359375e+00,6.940733125146235416e+00
8.355173110961914062e+00,5.158466644958838110e+00
8.350512504577636719e+00,4.762364557675437204e+00
8.345877647399902344e+00,6.940926935472670145e+00
8.341000556945800781e+00,6.940615504439930916e+00
8.336499214172363281e+00,5.752675655634281071e+00
8.332060813903808594e+00,5.554454733184313042e+00
8.327703475952148438e+00,4.960408869385518393e+00
8.323625564575195312e+00,6.940683706931094044e+00
8.319942474365234375e+00,5.158490254212794390e+00
8.316246032714843750e+00,4.762435070443529206e+00
